# Shirakawa 4x8x130 S-pentacube tiling, canonical coords
# piece_no=x,y,z;x,y,z;x,y,z;x,y,z;x,y,z
1=0,0,0;0,0,1;0,0,2;0,1,0;1,0,2
2=0,2,0;1,0,0;1,0,1;1,1,0;1,2,0
3=2,0,0;2,0,1;2,0,2;2,1,0;3,0,2
4=2,2,0;3,0,0;3,0,1;3,1,0;3,2,0
5=0,3,0;0,4,0;1,4,0;2,4,0;2,4,1
6=1,3,0;1,3,1;2,3,0;3,3,0;3,4,0
7=0,5,0;0,6,0;0,7,0;0,7,1;1,5,0
8=2,5,0;2,6,0;2,7,0;2,7,1;3,5,0
9=0,7,2;1,6,0;1,7,0;1,7,1;1,7,2
10=2,7,2;3,6,0;3,7,0;3,7,1;3,7,2
11=0,1,1;0,2,1;0,3,1;0,3,2;1,1,1
12=0,1,2;0,2,2;1,1,2;2,1,1;2,1,2
13=2,3,1;3,1,1;3,1,2;3,2,1;3,3,1
14=1,1,3;1,2,1;1,2,2;1,2,3;2,2,1
15=0,3,3;0,4,1;0,4,2;0,4,3;1,4,1
16=2,2,2;3,2,2;3,3,2;3,4,1;3,4,2
17=0,5,1;0,5,2;1,5,1;2,5,1;2,6,1
18=2,6,3;3,5,1;3,6,1;3,6,2;3,6,3
19=0,5,3;0,6,1;0,6,2;0,6,3;1,6,1
20=1,3,2;1,4,2;1,5,2;1,5,3;2,3,2
21=1,6,2;2,4,2;2,4,3;2,5,2;2,6,2
22=2,3,3;3,3,3;3,4,3;3,5,2;3,5,3
23=0,0,3;0,0,4;1,0,3;2,0,3;2,1,3
24=2,2,3;3,0,3;3,0,4;3,1,3;3,2,3
25=0,1,3;0,1,4;0,1,5;0,2,3;1,1,5
26=1,3,3;1,3,4;1,3,5;1,4,3;2,3,5
27=0,5,4;0,6,4;1,5,4;2,5,3;2,5,4
28=1,6,3;1,6,4;2,6,4;3,5,4;3,6,4
29=0,6,5;0,7,3;0,7,4;0,7,5;1,7,3
30=2,6,5;2,7,3;2,7,4;2,7,5;3,7,3
31=1,0,4;1,1,4;1,2,4;1,2,5;2,0,4
32=2,1,4;2,1,5;2,1,6;2,2,4;3,1,6
33=2,3,4;3,1,4;3,1,5;3,2,4;3,3,4
34=0,2,4;0,2,5;0,3,5;0,4,5;1,4,5
35=0,3,4;0,4,4;1,4,4;2,4,4;2,4,5
36=2,2,5;3,2,5;3,3,5;3,4,4;3,4,5
37=0,5,5;1,5,5;1,6,5;1,7,4;1,7,5
38=2,5,5;3,5,5;3,6,5;3,7,4;3,7,5
39=0,0,5;1,0,5;1,0,6;1,0,7;1,1,7
40=2,0,5;3,0,5;3,0,6;3,0,7;3,1,7
41=0,0,6;0,0,7;0,1,7;0,2,7;1,2,7
42=2,0,6;2,0,7;2,1,7;2,2,7;3,2,7
43=0,1,6;0,2,6;0,3,6;0,3,7;1,1,6
44=0,3,8;1,2,6;1,3,6;1,3,7;1,3,8
45=2,2,6;2,3,6;2,4,6;2,4,7;3,2,6
46=2,4,8;3,3,6;3,4,6;3,4,7;3,4,8
47=0,4,6;1,4,6;1,4,7;1,4,8;1,5,8
48=0,5,6;0,6,6;0,7,6;0,7,7;1,5,6
49=2,5,6;2,6,6;2,7,6;2,7,7;3,5,6
50=0,7,8;1,6,6;1,7,6;1,7,7;1,7,8
51=2,7,8;3,6,6;3,7,6;3,7,7;3,7,8
52=2,2,9;2,3,7;2,3,8;2,3,9;3,3,7
53=0,4,7;0,4,8;0,4,9;0,5,7;1,4,9
54=1,5,7;1,6,7;2,6,7;3,6,7;3,6,8
55=2,5,7;3,5,7;3,5,8;3,5,9;3,6,9
56=0,6,7;0,6,8;1,6,8;2,5,8;2,6,8
57=0,0,8;0,0,9;0,0,10;0,1,8;1,0,10
58=0,2,8;1,0,8;1,0,9;1,1,8;1,2,8
59=2,0,8;2,0,9;2,0,10;2,1,8;3,0,10
60=2,2,8;3,0,8;3,0,9;3,1,8;3,2,8
61=2,1,9;3,1,9;3,2,9;3,3,8;3,3,9
62=0,5,8;0,5,9;1,5,9;2,4,9;2,5,9
63=0,1,9;0,1,10;0,1,11;0,2,9;1,1,11
